chrI_sense


YAL067W-A	2345	3842
YAL066W	9956	11534
YAL064W-B	11911	13561
YAL064W	21431	22985
YAL058W	37414	39138
YAL056W	39139	42156
YAL055W	42157	44418
YAL053W	45434	48496
YAL051W	48497	52858
YAL047W-A	54449	56048
YAL044W-A	57373	58963
YAL042W	61276	62751
YAL041W	62752	66462
YAL038W	71754	73635
YAL037W	73636	75895
YAL035W	76382	79695
YAL034W-A	79696	81677
YAL033W	82689	84301
YAL031W-A	84534	86112
YAL030W	87263	88857
YAL017W	119684	124788
YAL016W	124789	127856
YAL013W	129235	130690
YAL012W	130691	132169
YAL011W	132170	135176
YAL004W	140609	142143
YAL003W	142144	143526
YAL002W	143527	148566
YAR002W	152215	154917
YAR003W	154918	157781
YAR008W	158851	161245
YAR015W	169259	171598
YAR019W-A	174863	176465
YAR027W	183761	184804
YAR031W	186701	187971
YAR033W	187972	189946
YAR035W	190058	192524
YAR042W	192525	197350
YAR050W	203268	208231
YAR053W	208232	209798
YAR064W	220063	220913
YAR066W	220914	222270
YAR068W	222271	224026


chrII_sense


YBL113W-A	511	2263
YBL109W	5655	7260
YBL108W	8042	9132
YBL107W-A	9133	10507
YBL102W	23913	25894
YBL100W-C	28292	30021
YBL099W	36628	39122
YBL098W	39123	40750
YBL097W	40751	43270
YBL095W	43271	45209
YBL092W	45545	47464
YBL085W	63533	67908
YBL081W	71558	74031
YBL079W	75200	81047
YBL073W	87511	89092
YBL071W-A	89938	90683
YBL068W	92360	94478
YBL065W	99828	101442
YBL063W	101880	105239
YBL062W	105240	106823
YBL060W	107872	110566
YBL059W	110567	111405
YBL058W	111406	113619
YBL056W	113620	116562
YBL046W	132293	135063
YBL044W	135863	136553
YBL043W	136554	138684
YBL041W	141205	142725
YBL039W-B	142726	144689
YBL038W	146138	147027
YBL037W	147028	151427
YBL032W	160035	161659
YBL031W	161660	163941
YBL029W	165840	168387
YBL027W	168388	170229
YBL026W	170230	171355
YBL025W	171356	172421
YBL024W	172422	175704
YBL020W	182243	184217
YBL019W	184218	187536
YBL016W	192225	193976
YBL015W	193977	197221
YBL006W-A	216576	217145
YBL005W	217146	222063
YBL004W	227545	236221
YBL002W	236443	238561
YBR003W	242786	245360
YBR005W	245825	246889
YBR006W	246890	249622
YBR010W	256185	258164
YBR016W	270209	272071
YBR020W	278886	281247
YBR024W	289334	291567
YBR038W	311805	315440
YBR041W	318198	321457
YBR047W	331702	332745
YBR048W	332746	335022
YBR051W	337853	339421
YBR054W	342572	345571
YBR056W	347727	350426
YBR056W-A	351072	352901
YBR064W	367628	369326
YBR071W	380297	381956
YBR072W	381957	384074
YBR074W	386216	390314
YBR078W	392889	396369
YBR083W	409014	410934
YBR084W	410935	415143
YBR085W	415883	418074
YBR087W	423752	425047
YBR089W	425048	427051
YBR094W	431980	435388
YBR096W	435937	436911
YBR097W	436912	441428
YBR098W	441429	445191
YBR103W	447481	449586
YBR104W	449587	451766
YBR106W	452588	454367
YBR108W	454763	458697
YBR110W	458698	461371
YBR111W-A	461854	463738
YBR113W	465431	467156
YBR114W	467157	470676
YBR124W	486372	488001
YBR131W	497131	500480
YBR139W	515631	518361
YBR141W-A	527032	528252
YBR142W	528253	531783
YBR145W	533639	535188
YBR149W	539943	542222
YBR151W	544876	546317
YBR152W	546318	547406
YBR153W	547407	549533
YBR155W	549722	552008
YBR161W	561499	564080
YBR162W-A	565119	565585
YBR163W	565586	568676
YBR165W	568677	570731
YBR168W	572236	574766
YBR171W	578294	580111
YBR175W	582252	583625
YBR176W	583626	585804
YBR178W	585936	587580
YBR180W	589606	592594
YBR189W	604363	606180
YBR192W	607463	609842
YBR194W	609843	611569
YBR199W	618816	620776
YBR200W	620777	622847
YBR200W-A	622848	623437
YBR201W	623438	625337
YBR202W	625696	628681
YBR203W	628682	633041
YBR209W	642262	644035
YBR210W	645257	647194
YBR212W	647450	650261
YBR217W	657756	659699
YBR221W-A	666517	667978
