chr	site	strand	count
chrI	100105	-	4
chrI	100447	-	1
chrI	100464	-	1
chrI	100466	-	1
chrI	100472	-	1
chrI	101283	+	1
chrI	101440	+	1
chrI	106248	-	1
chrI	106269	-	1
chrI	106303	-	3
chrI	106308	-	1
chrI	106309	-	1
chrI	106311	-	1
chrI	106329	-	1
chrI	106532	-	2
chrI	106534	-	2
chrI	106549	-	4
chrI	106610	-	1
chrI	106613	-	1
chrI	106675	-	2
chrI	106858	-	1
chrI	106894	-	1
chrI	107259	-	4
chrI	107265	-	1
chrI	107268	-	2
chrI	107372	-	5
chrI	107378	-	1
chrI	107472	-	1
chrI	107484	-	1
chrI	107515	-	1
chrI	107516	-	6
chrI	107529	-	1
chrI	108461	-	3
chrI	108462	-	1
chrI	108548	-	3
chrI	108550	-	2
chrI	108552	-	4
chrI	108587	-	1
chrI	112071	-	1
chrI	112127	-	7
chrI	112209	-	1
chrI	113049	+	1
chrI	113074	-	2
chrI	114926	+	1
chrI	115212	+	14
chrI	115605	+	1
chrI	115906	+	3
chrI	115940	+	1
chrI	117311	+	1
chrI	118273	+	1
chrI	119907	+	3
chrI	119920	+	2
chrI	119924	+	1
chrI	119926	+	4
chrI	119951	+	1
chrI	119975	+	1
chrI	120031	+	1
chrI	120036	+	3
chrI	120178	+	2
chrI	120265	+	1
chrI	120296	+	1
chrI	120299	+	20
chrI	120429	+	2
chrI	120456	+	1
chrI	120461	+	6
chrI	120559	+	2
chrI	120709	+	1
chrI	120823	+	3
chrI	120836	+	1
chrI	121038	+	1
chrI	121251	+	1
chrI	121310	+	3
chrI	121373	+	1
chrI	121375	+	2
chrI	121449	+	3
chrI	121678	+	1
chrI	121721	+	1
chrI	121734	+	1
chrI	121763	+	5
chrI	122896	+	2
chrI	123463	+	1
chrI	123603	+	2
chrI	123605	+	1
chrI	123763	+	1
chrI	123811	+	1
chrI	123966	+	6
chrI	123967	+	1
chrI	124809	+	2
chrI	124810	+	5
chrI	124812	+	3
chrI	124813	+	4
chrI	124865	+	3
chrI	125204	+	8
chrI	125234	+	1
chrI	125263	+	6
chrI	125354	+	4
chrI	125386	+	4
chrI	125425	+	3
chrI	125864	+	2
chrI	125873	+	2
chrI	125905	+	6
chrI	125916	+	6
chrI	125927	+	3
chrI	125979	+	14
chrI	125980	+	1
chrI	125989	+	6
chrI	126639	+	1
chrI	126642	+	1
chrI	126715	+	1
chrI	127196	+	3
chrI	128580	-	1
chrI	128804	-	1
chrI	128806	-	5
chrI	128814	-	2
chrI	128823	-	10
chrI	128832	-	2
chrI	128904	-	2
chrI	128998	-	1
chrI	129417	+	1
chrI	130685	+	7
chrI	130686	+	1
chrI	130743	+	3
chrI	130746	+	3
chrI	130756	+	9
chrI	130762	+	1
chrI	130765	+	5
chrI	130766	+	10
chrI	130774	+	1
chrI	130813	+	1
chrI	130819	+	1
chrI	130827	+	1
chrI	130877	+	2
chrI	130886	+	1
chrI	130891	+	6
chrI	130892	+	1
chrI	130893	+	10
chrI	130904	+	2
chrI	130914	+	9
chrI	130916	+	2
chrI	130919	+	3
chrI	130931	+	1
chrI	130947	+	1
chrI	130964	+	1
chrI	130979	+	1
chrI	131032	+	6
chrI	131033	+	1
chrI	131058	+	1
chrI	131065	+	1
chrI	131069	+	1
chrI	131071	+	1
chrI	131082	+	1
chrI	131084	+	1
chrI	131119	+	1
chrI	131125	+	1
chrI	131128	+	2
chrI	131129	+	1
chrI	131165	+	10
chrI	131178	+	1
chrI	131240	+	7
chrI	131254	+	1
chrI	131285	+	1
chrI	131288	+	2
chrI	131296	+	3
chrI	131325	+	1
chrI	131340	+	6
